date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:46	38397/38397	---M--	200	added ('OK')	image/png	etag:%22a01fd540c00a2dfbd1e78e43635a9c97%22	https://cdn.awsli.com.br/1140x1448/2545/2545673/banner/tmptarja1-1964cce5f0.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/1140x1448/2545/2545673/banner/tmptarja1-1964cce5f0.png	(from https://rennaker.lojaintegrada.com.br/)
11:16:46	50955/50955	---M--	200	added ('OK')	image/png	etag:%22919a0ceb32ef5e0e1b9dfb0cbdd3d414%22	https://cdn.awsli.com.br/1140x1448/2545/2545673/banner/tmptarja2-8c5bb1386d.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/1140x1448/2545/2545673/banner/tmptarja2-8c5bb1386d.png	(from https://rennaker.lojaintegrada.com.br/)
11:16:46	64357/64357	---M--	200	added ('OK')	image/png	etag:%228af09bd6124599fe27b0f1d658662031%22	https://cdn.awsli.com.br/1140x1448/2545/2545673/banner/tmptarja3-9c13856c04.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/1140x1448/2545/2545673/banner/tmptarja3-9c13856c04.png	(from https://rennaker.lojaintegrada.com.br/)
11:16:47	63501/63501	---M--	200	added ('OK')	image/png	etag:%2235327b62ee449affb1be704356e5f1c0%22	https://cdn.awsli.com.br/1140x1448/2545/2545673/banner/tmptarja4-df6c380223.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/1140x1448/2545/2545673/banner/tmptarja4-df6c380223.png	(from https://rennaker.lojaintegrada.com.br/)
11:16:47	85974/85974	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2014:16:47%20GMT	https://rennaker.lojaintegrada.com.br/02-rennaker-gummy	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/02-rennaker-gummy.html	(from https://rennaker.lojaintegrada.com.br/)
11:16:47	20262/20262	---M--	200	added ('OK')	image/webp	etag:%225bcf12604d5e0b402222a25f02a67549%22	https://cdn.awsli.com.br/300x300/2545/2545673/produto/198416704/group-57-79bea05edb.jpg	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/300x300/2545/2545673/produto/198416704/group-57-79bea05edb.jpg	(from https://rennaker.lojaintegrada.com.br/)
11:16:48	85967/85967	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2014:16:48%20GMT	https://rennaker.lojaintegrada.com.br/03-rennaker-gummy	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/03-rennaker-gummy.html	(from https://rennaker.lojaintegrada.com.br/)
11:16:48	21002/21002	---M--	200	added ('OK')	image/webp	etag:%2228f3332e10f693a9bec941a42aee8180%22	https://cdn.awsli.com.br/300x300/2545/2545673/produto/198417204/group-59-14aa6e1b1f.jpg	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/300x300/2545/2545673/produto/198417204/group-59-14aa6e1b1f.jpg	(from https://rennaker.lojaintegrada.com.br/)
11:16:49	86034/86034	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2014:16:49%20GMT	https://rennaker.lojaintegrada.com.br/06-rennaker-gummy	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/06-rennaker-gummy.html	(from https://rennaker.lojaintegrada.com.br/)
11:16:49	20073/20073	---M--	200	added ('OK')	image/webp	etag:%2296d62d1d3fe27e8e7af421a6b806f583%22	https://cdn.awsli.com.br/300x300/2545/2545673/produto/198417271/group-58-52927bfd60.jpg	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/300x300/2545/2545673/produto/198417271/group-58-52927bfd60.jpg	(from https://rennaker.lojaintegrada.com.br/)
11:16:50	87438/87438	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2014:16:50%20GMT	https://rennaker.lojaintegrada.com.br/rennaker	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/rennaker.html	(from https://rennaker.lojaintegrada.com.br/)
